,date,Open,Close,High,Low,volume,code
58,2017/3/31,375.119,375.275,376.868,373.157,24474,600519
59,2017/4/5,374.595,378.48,383.657,373.954,40789,600519
60,2017/4/6,377.849,380.666,381.724,375.537,28857,600519
61,2017/4/7,381.715,381.598,382.696,378.422,24097,600519
62,2017/4/10,382.696,378.033,382.696,376.868,28869,600519
63,2017/4/11,376.916,374.236,379.49,369.68,43530,600519
64,2017/4/12,374.236,379.034,379.782,373.76,27002,600519
65,2017/4/13,379.568,386.96,387.154,379.306,45648,600519
66,2017/4/14,387.97,384.104,388.407,383.667,23646,600519
67,2017/4/17,379.782,384.434,386.853,377.402,28793,600519
68,2017/4/18,383.278,393.04,394.886,383.278,49581,600519
69,2017/4/19,391.437,394.099,397.362,391.301,37550,600519
70,2017/4/20,394.439,403.394,408.367,394.439,50457,600519
71,2017/4/21,403.093,389.038,403.676,388.523,49332,600519
72,2017/4/24,389.126,387.115,393.38,377.839,50037,600519
73,2017/4/25,393.186,406.872,408.115,393.186,76192,600519
74,2017/4/26,406.833,405.968,416.381,401.16,56624,600519
75,2017/4/27,403.608,409.348,409.863,398.654,28240,600519
76,2017/4/28,409.883,401.617,410.864,398.139,49505,600519
77,2017/5/2,399.791,400.257,403.093,397.44,23291,600519
78,2017/5/3,399.208,405.628,405.677,399.208,20267,600519
79,2017/5/4,402.734,404.064,406.473,402.734,26709,600519
80,2017/5/5,404.259,404.249,410.65,403.19,37437,600519
81,2017/5/8,404.239,393.846,405.036,393.108,40721,600519
82,2017/5/9,392.836,397.032,398.12,386.581,52801,600519
83,2017/5/10,396.682,398.324,402.549,395.342,26039,600519
84,2017/5/11,396.682,400.335,402.802,394.847,30467,600519
85,2017/5/12,401.724,401.607,403.385,398.246,22337,600519
86,2017/5/15,401.267,407.513,408.29,401.267,33447,600519
87,2017/5/16,407.561,417.779,418.848,406.26,50164,600519
88,2017/5/17,416.691,414.36,417.847,412.69,27515,600519
89,2017/5/18,412.855,417.216,418.343,412.816,24300,600519
90,2017/5/19,417.245,428.172,429.124,417.245,38310,600519
91,2017/5/22,426.443,429.105,433.213,423.685,35321,600519
92,2017/5/23,429.561,441.168,441.431,429.561,48454,600519
93,2017/5/24,439.906,437.4,443.383,433.204,40226,600519
94,2017/5/25,435.836,437.672,439.964,434.661,28898,600519
95,2017/5/26,437.885,438.954,442.528,435.146,27386,600519
96,2017/5/31,437.089,430.231,437.575,427.483,44312,600519
97,2017/6/1,429.804,436.39,437.04,428.357,40604,600519
98,2017/6/2,437.089,434.476,438.012,432.815,21785,600519
99,2017/6/5,435.185,431.659,436.118,429.658,19241,600519
100,2017/6/6,432.203,435.943,436.118,431.455,20402,600519
101,2017/6/7,436.234,446.19,446.802,436.234,38834,600519
102,2017/6/8,448.084,450.988,451.076,445.345,28951,600519
103,2017/6/9,450.92,452.377,457.292,449.716,31430,600519
104,2017/6/12,453.601,459.312,461.799,451.659,35109,600519
105,2017/6/13,459.478,459.468,460.886,453.601,24237,600519
106,2017/6/14,459.225,460.779,463.8,456.981,33768,600519
107,2017/6/15,461.372,450.979,461.838,450.687,50202,600519
108,2017/6/16,448.259,449.357,454.077,448.026,33331,600519
109,2017/6/19,448.706,456.68,456.894,448.706,38536,600519
110,2017/6/20,459.429,452.921,461.255,452.3,34505,600519
111,2017/6/21,456.078,459.147,459.429,452.659,42038,600519
112,2017/6/22,459.448,459.186,464.218,457.681,38242,600519
113,2017/6/23,459.293,459.167,461.255,454.893,31303,600519
114,2017/6/26,459.439,470.774,471.085,458.458,52932,600519
115,2017/6/27,468.967,470.211,471.085,467.054,27980,600519
116,2017/6/28,470.201,461.663,470.201,459.429,37728,600519
117,2017/6/29,462.634,459.439,463.654,456.515,35092,600519
118,2017/6/30,457.982,458.312,460.556,454.378,22427,600519
119,2017/7/3,460.595,447.161,460.595,444.762,49628,600519
120,2017/7/4,445.792,438.954,446.802,436.118,56488,600519
121,2017/7/5,440.013,446.928,447.123,440.013,37540,600519
122,2017/7/6,444.966,442.897,446.996,437.672,42044,600519
123,2017/7/7,444.735,439.726,444.785,435.023,37796,600519
124,2017/7/10,440.624,448.107,448.531,436.768,36624,600519
125,2017/7/11,448.137,456.646,458.076,447.644,44601,600519
126,2017/7/12,459.279,451.065,459.466,448.63,28950,600519
127,2017/7/13,448.975,449.774,455.443,447.329,25951,600519
128,2017/7/14,449.863,450.02,452.337,446.707,17726,600519
